gear_id,substrate_id,feature_id,energy_id,s,r
GC1,S4,B10,LOW,2,3
GC1,S4,B11,HIGH,2,2
GC1,S4,B11,LOW,2,2
GC1,S4,B12,HIGH,2,2
GC1,S4,B12,LOW,2,2
GC1,S4,B14,HIGH,2,1
GC1,S4,B14,LOW,2,1
GC1,S4,B15,HIGH,1,2
GC1,S4,B15,LOW,1,2
GC1,S4,B16,HIGH,2,2
GC1,S4,B16,LOW,2,2
GC1,S4,G07,HIGH,1,0
GC1,S4,G08,HIGH,3,3
GC1,S4,G08,LOW,3,3
GC1,S4,G09,HIGH,1,0
GC1,S4,G09,LOW,1,0
GC1,S5,B01,HIGH,2,2
GC1,S5,B01,LOW,2,2
GC1,S5,B03,HIGH,2,1
GC1,S5,B03,LOW,2,1
GC1,S5,B04,HIGH,1,1
GC1,S5,B04,LOW,1,1
GC1,S5,B08,HIGH,1,1
GC1,S5,B08,LOW,1,1
GC1,S5,B09,HIGH,1,1
GC1,S5,B10,HIGH,2,3
GC1,S5,B10,LOW,2,3
GC1,S5,B11,HIGH,2,2
GC1,S5,B11,LOW,2,2
GC1,S5,B12,HIGH,2,2
GC1,S5,B12,LOW,2,2
GC1,S5,B14,HIGH,2,1
GC1,S5,B14,LOW,2,1
GC1,S5,B16,HIGH,2,2
GC1,S5,B16,LOW,2,2
GC1,S5,G05,HIGH,2,3
GC1,S5,G05,LOW,2,3
GC1,S5,G06,HIGH,0,0
GC1,S5,G06,LOW,0,0
GC2,S1,B02,HIGH,2,2
GC2,S1,B02,LOW,2,2
GC2,S1,B06,LOW,2,2
GC2,S1,B08,HIGH,1,1
GC2,S1,B08,LOW,1,1
GC2,S1,B10,HIGH,1,3
GC2,S1,B10,LOW,1,3
GC2,S1,B13,HIGH,1,0
GC2,S1,B13,LOW,1,0
GC2,S1,G02,HIGH,2,0
GC2,S1,G02,LOW,2,0
GC2,S1,G04,HIGH,2,0
GC2,S1,G04,LOW,2,0
GC2,S1,G13,HIGH,2,0
GC2,S1,G13,LOW,2,0
GC2,S2,B02,HIGH,2,2
GC2,S2,B02,LOW,2,2
GC2,S2,B03,HIGH,2,1
GC2,S2,B03,LOW,2,1
GC2,S2,B06,LOW,2,2
GC2,S2,B08,HIGH,1,1
GC2,S2,B08,LOW,1,1
GC2,S2,B10,HIGH,1,3
GC2,S2,B10,LOW,1,3
GC2,S2,B11,HIGH,2,2
GC2,S2,B11,LOW,2,2
GC2,S2,B12,HIGH,2,2
GC2,S2,B12,LOW,2,2
GC2,S2,B13,HIGH,1,0
GC2,S2,B13,LOW,1,0
GC2,S2,B15,HIGH,2,2
GC2,S2,B15,LOW,2,2
GC2,S2,G01,HIGH,2,0
GC2,S2,G02,HIGH,2,0
GC2,S2,G02,LOW,2,0
GC2,S2,G04,HIGH,2,0
GC2,S2,G04,LOW,2,0
GC2,S2,G13,HIGH,2,0
GC2,S2,G13,LOW,2,0
GC2,S2,G14,HIGH,1,1
GC2,S2,G14,LOW,1,2
GC2,S3,B01,HIGH,2,2
GC2,S3,B01,LOW,2,2
GC2,S3,B02,HIGH,2,2
GC2,S3,B02,LOW,2,2
GC2,S3,B03,HIGH,2,1
GC2,S3,B03,LOW,2,1
GC2,S3,B04,HIGH,1,1
GC2,S3,B04,LOW,1,1
GC2,S3,B08,HIGH,1,1
GC2,S3,B08,LOW,1,1
GC2,S3,B09,HIGH,1,1
GC2,S3,B10,HIGH,2,3
GC2,S3,B10,LOW,2,3
GC2,S3,B11,HIGH,2,2
GC2,S3,B11,LOW,2,2
GC2,S3,B12,HIGH,2,2
GC2,S3,B12,LOW,2,2
GC2,S3,B14,HIGH,2,1
GC2,S3,B14,LOW,2,1
GC2,S3,B15,HIGH,2,2
GC2,S3,B15,LOW,2,2
GC2,S3,B16,HIGH,2,2
GC2,S3,B16,LOW,2,2
GC2,S3,G10,HIGH,1,0
GC2,S3,G11,HIGH,1,0
GC2,S3,G11,LOW,1,2
GC2,S3,G14,HIGH,1,1
GC2,S3,G14,LOW,1,2
GC2,S4,B01,HIGH,2,2
GC2,S4,B01,LOW,2,2
GC2,S4,B03,HIGH,2,1
GC2,S4,B03,LOW,2,1
GC2,S4,B04,HIGH,1,1
GC2,S4,B04,LOW,1,1
GC2,S4,B08,HIGH,1,1
GC2,S4,B08,LOW,1,1
GC2,S4,B09,HIGH,1,1
GC2,S4,B10,HIGH,2,3
GC2,S4,B10,LOW,2,3
GC2,S4,B11,HIGH,2,2
GC2,S4,B11,LOW,2,2
GC2,S4,B12,HIGH,2,2
GC2,S4,B12,LOW,2,2
GC2,S4,B14,HIGH,2,1
GC2,S4,B14,LOW,2,1
GC2,S4,B15,HIGH,2,2
GC2,S4,B15,LOW,2,2
GC2,S4,B16,HIGH,2,2
GC2,S4,B16,LOW,2,2
GC2,S4,G07,HIGH,1,0
GC2,S4,G08,HIGH,3,3
GC2,S4,G08,LOW,3,3
GC2,S4,G09,HIGH,1,0
GC2,S4,G09,LOW,1,0
GC2,S5,B01,HIGH,2,2
GC2,S5,B01,LOW,2,2
GC2,S5,B03,HIGH,2,1
GC2,S5,B03,LOW,2,1
GC2,S5,B04,HIGH,1,1
GC2,S5,B04,LOW,1,1
GC2,S5,B08,HIGH,1,1
GC2,S5,B08,LOW,1,1
GC2,S5,B09,HIGH,1,1
GC2,S5,B10,HIGH,2,3
GC2,S5,B10,LOW,2,3
GC2,S5,B11,HIGH,2,2
GC2,S5,B11,LOW,2,2
GC2,S5,B12,HIGH,2,2
GC2,S5,B12,LOW,2,2
GC2,S5,B14,HIGH,2,1
GC2,S5,B14,LOW,2,1
GC2,S5,B16,HIGH,2,2
GC2,S5,B16,LOW,2,2
GC2,S5,G05,HIGH,2,3
GC2,S5,G05,LOW,2,3
GC2,S5,G06,HIGH,0,0
GC2,S5,G06,LOW,0,0
GC3,S2,B02,HIGH,3,3
GC3,S2,B02,LOW,3,3
GC3,S2,B03,HIGH,3,1
GC3,S2,B03,LOW,3,1
GC3,S2,B06,LOW,3,2
GC3,S2,B08,HIGH,3,1
GC3,S2,B08,LOW,3,1
GC3,S2,B10,HIGH,2,3
GC3,S2,B10,LOW,2,3
GC3,S2,B11,HIGH,3,2
GC3,S2,B11,LOW,3,2
GC3,S2,B12,HIGH,3,2
GC3,S2,B12,LOW,3,2
GC3,S2,B13,HIGH,3,0
GC3,S2,B13,LOW,3,0
GC3,S2,B15,HIGH,1,2
GC3,S2,B15,LOW,1,2
GC3,S2,G01,HIGH,3,0
GC3,S2,G02,HIGH,3,1
GC3,S2,G02,LOW,3,2
GC3,S2,G04,HIGH,3,0
GC3,S2,G04,LOW,3,0
GC3,S2,G13,HIGH,3,1
GC3,S2,G13,LOW,3,2
GC3,S2,G14,HIGH,2,1
GC3,S2,G14,LOW,2,2
GC3,S3,B01,HIGH,3,2
GC3,S3,B01,LOW,3,2
GC3,S3,B02,HIGH,3,3
GC3,S3,B02,LOW,3,3
GC3,S3,B03,HIGH,3,1
GC3,S3,B03,LOW,3,2
GC3,S3,B04,HIGH,3,1
GC3,S3,B04,LOW,3,2
GC3,S3,B08,HIGH,3,1
GC3,S3,B08,LOW,3,2
GC3,S3,B09,HIGH,3,1
GC3,S3,B10,HIGH,3,3
GC3,S3,B10,LOW,3,3
GC3,S3,B11,HIGH,3,2
GC3,S3,B11,LOW,3,2
GC3,S3,B12,HIGH,3,2
GC3,S3,B12,LOW,3,2
GC3,S3,B14,HIGH,3,1
GC3,S3,B14,LOW,3,2
GC3,S3,B15,HIGH,1,2
GC3,S3,B15,LOW,1,2
GC3,S3,B16,HIGH,3,2
GC3,S3,B16,LOW,3,2
GC3,S3,G10,HIGH,3,2
GC3,S3,G11,HIGH,3,1
GC3,S3,G11,LOW,3,2
GC3,S3,G14,HIGH,2,1
GC3,S3,G14,LOW,2,2
GC4,S1,B02,HIGH,1,2
GC4,S1,B02,LOW,1,2
GC4,S1,B06,LOW,1,0
GC4,S1,B08,HIGH,1,1
GC4,S1,B08,LOW,1,1
GC4,S1,B10,HIGH,0,0
GC4,S1,B10,LOW,0,0
GC4,S1,B13,HIGH,1,0
GC4,S1,B13,LOW,1,0
GC4,S1,G02,HIGH,1,0
GC4,S1,G02,LOW,1,0
GC6,S1,G02,HIGH,1,0
GC6,S1,G02,LOW,1,0
GC4,S1,G04,HIGH,0,0
GC4,S1,G04,LOW,0,0
GC4,S2,B02,HIGH,1,2
GC4,S2,B02,LOW,1,2
GC4,S2,B03,HIGH,1,1
GC4,S2,B03,LOW,1,1
GC4,S2,B06,LOW,1,0
GC4,S2,B08,HIGH,1,1
GC4,S2,B08,LOW,1,1
GC4,S2,B10,HIGH,0,0
GC4,S2,B10,LOW,0,0
GC4,S2,B11,HIGH,1,2
GC4,S2,B11,LOW,1,2
GC4,S2,B12,HIGH,0,1
GC4,S2,B12,LOW,0,1
GC4,S2,B13,HIGH,1,0
GC4,S2,B13,LOW,1,0
GC4,S2,B15,HIGH,0,0
GC4,S2,B15,LOW,0,0
GC6,S1,G04,HIGH,1,0
GC6,S1,G04,LOW,1,0
GC4,S1,G13,HIGH,0,0
GC4,S1,G13,LOW,0,0
GC6,S1,G13,HIGH,1,0
GC6,S1,G13,LOW,1,0
GC4,S2,G01,HIGH,0,0
GC6,S2,G01,HIGH,0,0
GC4,S2,G02,HIGH,1,0
GC4,S3,B01,HIGH,1,2
GC4,S3,B01,LOW,1,2
GC4,S3,B02,HIGH,1,2
GC4,S3,B02,LOW,1,2
GC4,S3,B03,HIGH,1,1
GC4,S3,B03,LOW,1,1
GC4,S3,B04,HIGH,1,1
GC4,S3,B04,LOW,1,1
GC4,S3,B08,HIGH,1,1
GC4,S3,B08,LOW,1,1
GC4,S3,B09,HIGH,1,1
GC4,S3,B10,HIGH,0,0
GC4,S3,B10,LOW,0,0
GC4,S3,B11,HIGH,1,2
GC4,S3,B11,LOW,1,2
GC4,S3,B12,HIGH,1,1
GC4,S3,B12,LOW,1,1
GC4,S3,B14,HIGH,1,1
GC4,S3,B14,LOW,1,1
GC4,S3,B15,HIGH,0,0
GC4,S3,B15,LOW,0,0
GC4,S3,B16,HIGH,1,2
GC4,S3,B16,LOW,1,2
GC4,S2,G02,LOW,1,0
GC6,S2,G02,HIGH,1,0
GC6,S2,G02,LOW,1,0
GC4,S2,G04,HIGH,1,0
GC4,S2,G04,LOW,1,0
GC4,S4,B01,HIGH,1,2
GC4,S4,B01,LOW,1,2
GC4,S4,B03,HIGH,1,1
GC4,S4,B03,LOW,1,1
GC4,S4,B04,HIGH,1,1
GC4,S4,B04,LOW,1,1
GC4,S4,B08,HIGH,1,1
GC4,S4,B08,LOW,1,1
GC4,S4,B09,HIGH,1,1
GC4,S4,B10,HIGH,0,0
GC4,S4,B10,LOW,0,0
GC4,S4,B11,HIGH,1,2
GC4,S4,B11,LOW,1,2
GC4,S4,B12,HIGH,1,1
GC4,S4,B12,LOW,1,1
GC4,S4,B14,HIGH,1,1
GC4,S4,B14,LOW,1,1
GC4,S4,B15,HIGH,0,0
GC4,S4,B15,LOW,0,0
GC4,S4,B16,HIGH,1,2
GC4,S4,B16,LOW,1,2
GC6,S2,G04,HIGH,1,0
GC6,S2,G04,LOW,1,0
GC4,S2,G13,HIGH,0,0
GC4,S2,G13,LOW,0,0
GC6,S2,G13,HIGH,1,0
GC4,S5,B01,HIGH,1,2
GC4,S5,B01,LOW,1,2
GC4,S5,B03,HIGH,1,1
GC4,S5,B03,LOW,1,1
GC4,S5,B04,HIGH,1,1
GC4,S5,B04,LOW,1,1
GC4,S5,B08,HIGH,1,1
GC4,S5,B08,LOW,1,1
GC4,S5,B09,HIGH,1,1
GC4,S5,B10,HIGH,0,0
GC4,S5,B10,LOW,0,0
GC4,S5,B11,HIGH,1,2
GC4,S5,B11,LOW,1,2
GC4,S5,B12,HIGH,1,1
GC4,S5,B12,LOW,1,1
GC4,S5,B14,HIGH,1,1
GC4,S5,B14,LOW,1,1
GC4,S5,B16,HIGH,1,2
GC4,S5,B16,LOW,1,2
GC6,S2,G13,LOW,1,0
GC4,S2,G14,HIGH,0,0
GC4,S2,G14,LOW,0,0
GC6,S2,G14,HIGH,0,0
GC5,S1,B02,HIGH,1,2
GC5,S1,B02,LOW,1,2
GC5,S1,B06,LOW,1,0
GC5,S1,B08,HIGH,1,1
GC5,S1,B08,LOW,1,1
GC5,S1,B10,HIGH,0,0
GC5,S1,B10,LOW,0,0
GC5,S1,B13,HIGH,1,0
GC5,S1,B13,LOW,1,0
GC5,S1,G02,HIGH,1,0
GC5,S1,G02,LOW,1,0
GC5,S1,G04,HIGH,0,0
GC5,S1,G04,LOW,0,0
GC5,S1,G13,HIGH,0,0
GC5,S1,G13,LOW,0,0
GC5,S2,B02,HIGH,1,2
GC5,S2,B02,LOW,1,2
GC5,S2,B03,HIGH,1,1
GC5,S2,B03,LOW,1,1
GC5,S2,B06,LOW,1,0
GC5,S2,B08,HIGH,1,1
GC5,S2,B08,LOW,1,1
GC5,S2,B10,HIGH,0,0
GC5,S2,B10,LOW,0,0
GC5,S2,B11,HIGH,1,2
GC5,S2,B11,LOW,1,2
GC5,S2,B12,HIGH,0,1
GC5,S2,B12,LOW,0,1
GC5,S2,B13,HIGH,1,0
GC5,S2,B13,LOW,1,0
GC5,S2,B15,HIGH,0,0
GC5,S2,B15,LOW,0,0
GC5,S2,G01,HIGH,0,0
GC5,S2,G02,HIGH,1,0
GC5,S2,G02,LOW,1,0
GC5,S2,G04,HIGH,1,0
GC5,S2,G04,LOW,1,0
GC5,S2,G13,HIGH,0,0
GC5,S2,G13,LOW,0,0
GC5,S2,G14,HIGH,0,0
GC5,S2,G14,LOW,0,0
GC5,S3,B01,HIGH,1,2
GC5,S3,B01,LOW,1,2
GC5,S3,B02,HIGH,1,2
GC5,S3,B02,LOW,1,2
GC5,S3,B03,HIGH,1,1
GC5,S3,B03,LOW,1,1
GC5,S3,B04,HIGH,1,1
GC5,S3,B04,LOW,1,1
GC5,S3,B08,HIGH,1,1
GC5,S3,B08,LOW,1,1
GC5,S3,B09,HIGH,1,1
GC5,S3,B10,HIGH,0,0
GC5,S3,B10,LOW,0,0
GC5,S3,B11,HIGH,1,2
GC5,S3,B11,LOW,1,2
GC5,S3,B12,HIGH,1,1
GC5,S3,B12,LOW,1,1
GC5,S3,B14,HIGH,1,1
GC5,S3,B14,LOW,1,1
GC5,S3,B15,HIGH,0,0
GC5,S3,B15,LOW,0,0
GC5,S3,B16,HIGH,1,2
GC5,S3,B16,LOW,1,2
GC5,S3,G10,HIGH,0,0
GC5,S3,G11,HIGH,0,0
GC5,S3,G11,LOW,0,0
GC5,S3,G14,HIGH,0,0
GC5,S3,G14,LOW,0,0
GC5,S4,B01,HIGH,1,2
GC5,S4,B01,LOW,1,2
GC5,S4,B03,HIGH,1,1
GC5,S4,B03,LOW,1,1
GC5,S4,B04,HIGH,1,1
GC5,S4,B04,LOW,1,1
GC5,S4,B08,HIGH,1,1
GC5,S4,B08,LOW,1,1
GC5,S4,B09,HIGH,1,1
GC5,S4,B10,HIGH,0,0
GC5,S4,B10,LOW,0,0
GC5,S4,B11,HIGH,1,2
GC5,S4,B11,LOW,1,2
GC5,S4,B12,HIGH,1,1
GC5,S4,B12,LOW,1,1
GC5,S4,B14,HIGH,1,1
GC5,S4,B14,LOW,1,1
GC5,S4,B15,HIGH,0,0
GC5,S4,B15,LOW,0,0
GC5,S4,B16,HIGH,1,2
GC5,S4,B16,LOW,1,2
GC5,S4,G07,HIGH,0,0
GC5,S4,G08,HIGH,1,3
GC5,S4,G08,LOW,1,3
GC5,S4,G09,HIGH,0,0
GC5,S4,G09,LOW,0,0
GC5,S5,B01,HIGH,1,2
GC5,S5,B01,LOW,1,2
GC5,S5,B03,HIGH,1,1
GC5,S5,B03,LOW,1,1
GC5,S5,B04,HIGH,1,1
GC5,S5,B04,LOW,1,1
GC5,S5,B08,HIGH,1,1
GC5,S5,B08,LOW,1,1
GC5,S5,B09,HIGH,1,1
GC5,S5,B10,HIGH,0,0
GC5,S5,B10,LOW,0,0
GC5,S5,B11,HIGH,1,2
GC5,S5,B11,LOW,1,2
GC5,S5,B12,HIGH,1,1
GC5,S5,B12,LOW,1,1
GC5,S5,B14,HIGH,1,1
GC5,S5,B14,LOW,1,1
GC5,S5,B16,HIGH,1,2
GC5,S5,B16,LOW,1,2
GC5,S5,G05,HIGH,0,3
GC5,S5,G05,LOW,0,3
GC5,S5,G06,HIGH,0,0
GC5,S5,G06,LOW,0,0
GC6,S1,B02,HIGH,1,2
GC6,S1,B02,LOW,1,2
GC6,S1,B06,LOW,1,0
GC6,S1,B08,HIGH,1,1
GC6,S1,B08,LOW,1,1
GC6,S1,B10,HIGH,0,0
GC6,S1,B10,LOW,0,0
GC6,S1,B13,HIGH,1,0
GC6,S1,B13,LOW,1,0
GC6,S2,G14,LOW,0,0
GC4,S3,G10,HIGH,0,0
GC6,S3,G10,HIGH,0,0
GC4,S3,G11,HIGH,0,0
GC4,S3,G11,LOW,0,0
GC6,S3,G11,HIGH,0,0
GC6,S2,B02,HIGH,1,2
GC6,S2,B02,LOW,1,2
GC6,S2,B03,HIGH,1,1
GC6,S2,B03,LOW,1,1
GC6,S2,B06,LOW,1,0
GC6,S2,B08,HIGH,1,1
GC6,S2,B08,LOW,1,1
GC6,S2,B10,HIGH,0,0
GC6,S2,B10,LOW,0,0
GC6,S2,B11,HIGH,1,2
GC6,S2,B11,LOW,1,2
GC6,S2,B12,HIGH,0,1
GC6,S2,B12,LOW,0,1
GC6,S2,B13,HIGH,1,0
GC6,S2,B13,LOW,1,0
GC6,S2,B15,HIGH,0,0
GC6,S2,B15,LOW,0,0
GC6,S3,G11,LOW,0,0
GC4,S3,G14,HIGH,0,0
GC4,S3,G14,LOW,0,0
GC6,S3,G14,HIGH,0,0
GC6,S3,G14,LOW,0,0
GC4,S4,G07,HIGH,0,0
GC6,S4,G07,HIGH,0,0
GC4,S4,G08,HIGH,1,3
GC4,S4,G08,LOW,1,3
GC6,S3,B01,HIGH,1,2
GC6,S3,B01,LOW,1,2
GC6,S3,B02,HIGH,1,2
GC6,S3,B02,LOW,1,2
GC6,S3,B03,HIGH,1,1
GC6,S3,B03,LOW,1,1
GC6,S3,B04,HIGH,1,1
GC6,S3,B04,LOW,1,1
GC6,S3,B08,HIGH,1,1
GC6,S3,B08,LOW,1,1
GC6,S3,B09,HIGH,1,1
GC6,S3,B10,HIGH,1,0
GC6,S3,B10,LOW,1,0
GC6,S3,B11,HIGH,1,2
GC6,S3,B11,LOW,1,2
GC6,S3,B12,HIGH,1,1
GC6,S3,B12,LOW,1,1
GC6,S3,B14,HIGH,1,1
GC6,S3,B14,LOW,1,1
GC6,S3,B15,HIGH,0,0
GC6,S3,B15,LOW,0,0
GC6,S3,B16,HIGH,1,2
GC6,S3,B16,LOW,1,2
GC6,S4,G08,HIGH,1,3
GC6,S4,G08,LOW,1,3
GC4,S4,G09,HIGH,0,0
GC4,S4,G09,LOW,0,0
GC6,S4,G09,HIGH,0,0
GC6,S4,B01,HIGH,1,2
GC6,S4,B01,LOW,1,2
GC6,S4,B03,HIGH,1,1
GC6,S4,B03,LOW,1,1
GC6,S4,B04,HIGH,1,1
GC6,S4,B04,LOW,1,1
GC6,S4,B08,HIGH,1,1
GC6,S4,B08,LOW,1,1
GC6,S4,B09,HIGH,1,1
GC6,S4,B10,HIGH,1,0
GC6,S4,B10,LOW,1,0
GC6,S4,B11,HIGH,1,2
GC6,S4,B11,LOW,1,2
GC6,S4,B12,HIGH,1,1
GC6,S4,B12,LOW,1,1
GC6,S4,B14,HIGH,1,1
GC6,S4,B14,LOW,1,1
GC6,S4,B15,HIGH,0,0
GC6,S4,B15,LOW,0,0
GC6,S4,B16,HIGH,1,2
GC6,S4,B16,LOW,1,2
GC6,S4,G09,LOW,0,0
GC4,S5,G05,HIGH,0,3
GC4,S5,G05,LOW,0,3
GC6,S5,G05,HIGH,0,3
GC6,S5,G05,LOW,0,3
GC6,S5,B01,HIGH,1,2
GC6,S5,B01,LOW,1,2
GC6,S5,B03,HIGH,1,1
GC6,S5,B03,LOW,1,1
GC6,S5,B04,HIGH,1,1
GC6,S5,B04,LOW,1,1
GC6,S5,B08,HIGH,1,1
GC6,S5,B08,LOW,1,1
GC6,S5,B09,HIGH,1,1
GC6,S5,B10,HIGH,1,0
GC6,S5,B10,LOW,1,0
GC6,S5,B11,HIGH,1,2
GC6,S5,B11,LOW,1,2
GC6,S5,B12,HIGH,1,1
GC6,S5,B12,LOW,1,1
GC6,S5,B14,HIGH,1,1
GC6,S5,B14,LOW,1,1
GC6,S5,B16,HIGH,1,2
GC6,S5,B16,LOW,1,2
GC4,S5,G06,HIGH,0,0
GC4,S5,G06,LOW,0,0
GC6,S5,G06,HIGH,0,0
GC6,S5,G06,LOW,0,0
